departamento,ciudad,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Antioquia,Vegachí,0,0,0,3,1,1,5,9,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26
Caquetá,La Montañita,0,0,0,0,0,0,0,1,5,2,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,26
Valle del Cauca,Buga,0,0,0,0,0,0,8,8,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
Bolívar,Zambrano,0,0,0,0,0,4,1,4,2,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Cesar,Curumaní,0,0,0,0,0,4,4,4,1,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
Norte de Santander,San Calixto,0,0,0,0,0,0,2,3,3,6,3,1,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,25
Santander,Santander department,1,1,3,0,1,1,4,3,5,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Antioquia,Frontino,0,0,2,1,0,2,6,2,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,25
Huila,Isnos,0,0,0,0,0,0,4,7,4,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Antioquia,Abejorral,0,0,0,0,0,0,2,3,6,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Bolívar,Simití,0,0,0,1,0,4,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,1,24
Bolívar,Bolívar department,0,1,2,1,1,0,3,0,1,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,2,0,1,3,1,0,24
Tolima,Ríoblanco,0,1,0,0,0,1,8,0,0,2,6,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
Huila,Garzón,0,0,0,0,0,0,1,2,0,5,5,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24
Sucre,Coloso,0,0,0,0,2,1,4,0,0,3,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Norte de Santander,Zulia,0,0,1,0,0,1,3,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,24
Cauca,Timbío,0,0,0,0,0,1,4,0,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24
Huila,Colombia,0,0,0,0,0,0,2,1,5,5,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Meta,Lejanías,0,0,0,0,1,2,0,2,5,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
